name,alcohol_%,avg_rating_%,country,description,distillery,img,n_votes,price,taste_box_fruits,taste_box_gravy,taste_box_qualitiy,taste_box_sherry_port_barrel,taste_box_smoke_torf,taste_box_sweet,taste_box_total,url,whisky_type
Glen Els Casino Manque (Deutschland) 5J-2011/2016,50.0,4.0,Deutschland,In der Casino Serie werden die Special Releases von Hammerschmiede abgefüllt. Manque ist ein Batch von Whiskys aus mehreren frischen Weinfässern.Limitiert auf 1.000 Flaschen!,Hammerschmiede Spirituosen Karl-Theodor Buchholz Elsbach 11a 37449 Zorge/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_GELS00CM0_1.jpg,1,7890,,,,,,,,https://www.whisky.de/shop/International/Glen-Els-Casino-Manque-Deutschland.html?force_sid=cedff3485b3ee94fdaa04194213588d9&&searchorigin=2,Single Malt Whisky
Penderyn Celt (Wales),41.0,2.7,Wales,"2004 konnte die noch junge Brennerei Penderyn ihren ersten Single Malt präsentieren. Unter den Gästen der Feier war auch Prinz Charles, der seitdem prominenter Unterstützer des walisischen Whiskys ist.",Welsh Whisky Company Penderyn Distillery Pontpren Penderyn CF44 0SX/GB,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_PENDE00CE_1.jpg,3,3990,,,,,,,,https://www.whisky.de/shop/International/Penderyn-Celt-Wales.html?force_sid=2685cbe8ddae854513faf2e7c91fa935&&searchorigin=2,Single Malt Whisky
Coillmor Port (Deutschland) 7J-2009,46.0,,Deutschland,Nur die besten Fässer werden von Gerhard Liebl für die Coillmor Single Cask Edition ausgewählt. Dieser Malt durfte für 7 Jahre in einem frisch entleerten Portweinfass reifen und erhielt dadurch außergewöhnliche Aromen.Limitiert auf 1.017 Flaschen!,Liebl GmbH Jahnstr. 11-15 93444 Bad Kötzting/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_COILL0PO7_1.jpg,,5290,,,,,,,,https://www.whisky.de/shop/International/Coillmor-Port-Deutschland-7J-2009.html?force_sid=11aa901d7b73bc28aac3b6caaef6b079&&searchorigin=2,Single Malt Whisky
Crown Royal Northern Harvest Rye (Kanada),45.0,3.7,Kanada,"Dieser Canadian Rye Whisky kombiniert die Aromen eines typischen Rye-Whiskys mit der bekannten Weichheit von Crown Royal. Der Roggenanteil in der Maische beträgt stolze 90%. Der Blend wurde 2016 von Jim Murray zum Whisky des Jahres gekürt. Damit war Crown Royal der erste kanadische Whisky, der diese Platzierung in der Whisky Bible erreichte. In Deutschland ist die Abfüllung bisher nur schwer zu bekommen.",Diageo Germany GmbH Reeperbahn 1 20359 Hamburg/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_CROWNRONH_1.jpg,14,5690,,,,,,,,https://www.whisky.de/shop/International/Crown-Royal-Northern-Harvest-Rye-Kanada.html?force_sid=11aa901d7b73bc28aac3b6caaef6b079&&searchorigin=2,Blended Rye Whisky
Frysk Hynder Wine Cask (Niederlande) 2013/2017,40.0,,Niederlande,"2002 fing der Bierbrauer Aart van der Linde an, Whisky herzustellen. Seinen Namen erhielt diese Abfüllung vom Frysk Hynder, dem friesischen Pferd.Der Single Malt aus Bolsward wird aus 100% Malz gebrannt, zweifach destilliert und in Weinfässern gereift.",Us Heit Distillery Frisia Snekerstraat 43 8701 XC Bolsward/NL,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_FRYSK17WC_1.jpg,,4590,,,,,,,,https://www.whisky.de/shop/International/Frysk-Hynder-Wine-Cask-Niederlande-2013-2017.html?force_sid=11aa901d7b73bc28aac3b6caaef6b079&&searchorigin=2,Single Malt Whisky
Mars Maltage Cosmo (Japan),43.0,3.0,Japan,"Die Familie Hombo brennt seit über einem Jahrhundert Spirituosen, seit 1949 auch Whisky. Ihre Brennerei Shinshu ist die höchstgelegene Brennerei Japans. 2015 wurde der Blend Cosmo fest ins Sortiment integriert. Benannt nach einem nahe gelegenen Berggipfel wurde der Whisky aus hauseigenem und schottischem Malt kreiert.",Number One Drinks Company Ltd Norwich NR2 1DN/GB,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_MARSM0CO0_1.jpg,2,4990,,,,,,,,https://www.whisky.de/shop/International/Mars-Maltage-Cosmo-Japan.html?force_sid=3166103bcd9e375296ece54e3f7c5213&&searchorigin=2,Blended Malt Whisky
Suntory Hakushu (Japan) 12 Jahre,43.0,4.0,Japan,"Die Brennerei Hakushu wurde 1973 am Berg Kaikomagatake errichtet. Damit ist sie eine der höchst gelegenen Brennereien der Welt. Der Begriff Hakushu bedeutet übersetzt soviel wie weiße Sandbänke und ist auf das verwendete Wasser zurückzuführen. Das Wasser der Brennerei stammt aus einer nahegelegenen Bergquelle. Das Bachbett dieser Quelle ist voller weißer Steine, diese Filtration macht das Wasser so besonders.",Beam Suntory UK Ltd. Springburn Bond Carlisle Street Glasgow G21 1EQ/GB,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_SUNTOHA12_1.jpg,28,8990,54,64,76,6,22,47,66,https://www.whisky.de/shop/International/Suntory-Hakushu-Japan-12-Jahre.html?force_sid=ce30dcfe8e9c0c517f71acd315a46eae&&searchorigin=2,Single Malt Whisky
Slyrs (Deutschland) 12J-2005/2017,43.0,,Deutschland,Schon zum 3. Mal kann Slyrs seinen begehrten 12-Jährigen abfüllen. Dieses Jahr ist der Single Malt sogar in zwei verschiedenen Umverpackungen erhältlich. Von der neuen Umverpackung aus Pappe sind einige Flaschen mehr erhältlich.,Slyrs Destillerie GmbH & Co. KG Bayrischzeller Straße 13 83727 Schliersee/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_SLYRS1200_1.jpg,,13850,,,,,,,,https://www.whisky.de/shop/International/Slyrs-Deutschland.html?force_sid=aacdd1c148b524c7f2bdd4dcecd84235&&searchorigin=2,Single Malt Whisky
St. Kilian White Dog Cask Strength (Deutschland),63.5,,Deutschland,Die St. Kilian Brennererei wurde nach schottischem Vorbild erbaut und ist seit 2016 in Betrieb. Gebrannt wird auf 6000 L Kupferbrennblasen der Firma Forsyths. Die heimische Gerste wird in der hauseigenen Mühle geschrotet und anschließend gemaischt. St. Kilian verwendet aber aber auch Rauchmalz aus Schottland.Ihre Standardedition White Dog ist auch in kräftiger Fassstärke erhältlich.,St. Kilian Distillers GmbH Hauptstr. 1-5 63924 Rüdenau/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_STKIWHDOC_1.jpg,,3490,,,,,,,,https://www.whisky.de/shop/International/St-Kilian-White-Dog-Cask-Strength-Deutschland.html?force_sid=aacdd1c148b524c7f2bdd4dcecd84235&&searchorigin=2,Destillat (Spirit)
Eddu Silver Brocéliande (Frankreich),42.0,,Frankreich,"Brocéliande, eine Waldregion bei Rennes, spielt in der Arthur Saga eine wichtige Rolle. Für die Reifung des Buchweizen-Whiskys wurden Eichenfässer aus dem legendären Forstgebiet verwendet.",Distillerie des Menhirs Pont Menhir 29700 Plomelin/FR,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_EDDUSILBR_1.jpg,,4990,,,,,,,,https://www.whisky.de/shop/International/Eddu-Silver-Broc-liande-Frankreich.html?force_sid=11aa901d7b73bc28aac3b6caaef6b079&&searchorigin=2,Whisky
